6-Feb-98,2,,,,,,
6-Mar-98,1,,,,,,
6-Nov-98,0,,,,,,
6-Aug-99,0,,,,,,
6-Oct-00,1,,,,,,
6-Apr-01,1,,,,,,
6-Jul-01,1,,,,,,
6-Sep-02,2,,,,,,
6-Dec-02,2,,,,,,
6-Jun-03,1,,,,,,
6-Feb-04,1,,,,,,
6-Aug-04,6,,,,,,
6-May-05,5,,,,,,
6-Jan-06,4,,,,,,
6-Oct-06,5,,,,,,
6-Apr-07,2,,,,,,
6-Jul-07,4,,,,,,
6-Jun-08,2,,,,,,
6-Feb-09,2,,,,,,
6-Mar-09,3,,,,,,
6-Nov-09,2,,,,,,
6-Aug-10,1,,,,,,
6-May-11,6,,,,,,
6-Jan-12,4,,,,,,
6-Apr-12,1,,,,,,
6-Jul-12,5,,,,,,
6-Sep-13,9,,,,,,
6-Dec-13,4,,,,,,
6-Jun-14,3,,,,,,
6-Feb-15,1,,,,,,
6-Mar-15,3,,,,,,
6-Nov-15,3,,,,,,
6-May-16,1,,,,,,
6-Jan-17,4,,,,,,
6-Oct-17,3,,,,,,
13-Feb-98,2,,,,,,
13-Mar-98,2,,,,,,
13-Nov-98,1,,,,,,
13-Aug-99,1,,,,,,
13-Oct-00,2,,,,,,
13-Apr-01,4,,,,,,
13-Jul-01,4,,,,,,
13-Sep-02,1,,,,,,
13-Dec-02,4,,,,,,
13-Jun-03,2,,,,,,
13-Feb-04,3,,,,,,
13-Aug-04,2,,,,,,
13-May-05,9,,,,,,
13-Jan-06,2,,,,,,
13-Oct-06,3,,,,,,
13-Apr-07,0,,,,,,
13-Jul-07,6,,,,,,
13-Jun-08,2,,,,,,
13-Feb-09,4,,,,,,
13-Mar-09,2,,,,,,
13-Nov-09,4,,,,,,
13-Aug-10,3,,,,,,
13-May-11,5,,,,,,
13-Jan-12,2,,,,,,
13-Apr-12,4,,,,,,
13-Jul-12,6,,,,,,
13-Sep-13,4,,,,,,
13-Dec-13,3,,,,,,
13-Jun-14,3,,,,,,
13-Feb-15,5,,,,,,
13-Mar-15,0,,,,,,
13-Nov-15,2,,,,,,
13-May-16,3,,,,,,
13-Jan-17,5,,,,,,
13-Oct-17,2,,,,,,
20-Feb-98,2,,,,,,
20-Mar-98,2,,,,,,
20-Nov-98,4,,,,,,
20-Aug-99,0,,,,,,
20-Oct-00,0,,,,,,
20-Apr-01,0,,,,,,
20-Jul-01,4,,,,,,
20-Sep-02,1,,,,,,
20-Dec-02,2,,,,,,
20-Jun-03,3,,,,,,
20-Feb-04,5,,,,,,
20-Aug-04,2,,,,,,
20-May-05,3,,,,,,
20-Jan-06,8,,,,,,
20-Oct-06,3,,,,,,
20-Apr-07,8,,,,,,
20-Jul-07,4,,,,,,
20-Jun-08,3,,,,,,
20-Feb-09,2,,,,,,
20-Mar-09,0,,,,,,
20-Nov-09,9,,,,,,
20-Aug-10,1,,,,,,
20-May-11,1,,,,,,
20-Jan-12,2,,,,,,
20-Apr-12,5,,,,,,
20-Jul-12,6,,,,,,
20-Sep-13,5,,,,,,
20-Dec-13,3,,,,,,
20-Jun-14,4,,,,,,
20-Feb-15,5,,,,,,
20-Mar-15,2,,,,,,
20-Nov-15,3,,,,,,
20-May-16,3,,,,,,
20-Jan-17,2,,,,,,
20-Oct-17,2,,,,,,
6-Feb-98,2,,,,,,
13-Feb-98,2,,,,,,
20-Feb-98,2,,,,,,
6-Mar-98,1,,,,,,
13-Mar-98,2,,,,,,
20-Mar-98,2,,,,,,
6-Nov-98,0,,,,,,
13-Nov-98,1,,,,,,
20-Nov-98,4,,,,,,
6-Aug-99,0,,,,,,
13-Aug-99,1,,,,,,
20-Aug-99,0,,,,,,
6-Oct-00,1,,,,,,
13-Oct-00,2,,,,,,
20-Oct-00,0,,,,,,
6-Apr-01,1,,,,,,
13-Apr-01,4,,,,,,
20-Apr-01,0,,,,,,
6-Jul-01,1,,,,,,
13-Jul-01,4,,,,,,
20-Jul-01,4,,,,,,
6-Sep-02,2,,,,,,
13-Sep-02,1,,,,,,
20-Sep-02,1,,,,,,
6-Dec-02,2,,,,,,
13-Dec-02,4,,,,,,
20-Dec-02,2,,,,,,
6-Jun-03,1,,,,,,
13-Jun-03,2,,,,,,
20-Jun-03,3,,,,,,
6-Feb-04,1,,,,,,
13-Feb-04,3,,,,,,
20-Feb-04,5,,,,,,
6-Aug-04,6,,,,,,
13-Aug-04,2,,,,,,
20-Aug-04,2,,,,,,
6-May-05,5,,,,,,
13-May-05,9,,,,,,
20-May-05,3,,,,,,
6-Jan-06,4,,,,,,
13-Jan-06,2,,,,,,
20-Jan-06,8,,,,,,
6-Oct-06,5,,,,,,
13-Oct-06,3,,,,,,
20-Oct-06,3,,,,,,
6-Apr-07,2,,,,,,
13-Apr-07,0,,,,,,
20-Apr-07,8,,,,,,
6-Jul-07,4,,,,,,
13-Jul-07,6,,,,,,
20-Jul-07,4,,,,,,
6-Jun-08,2,,,,,,
13-Jun-08,2,,,,,,
20-Jun-08,3,,,,,,
6-Feb-09,2,,,,,,
13-Feb-09,4,,,,,,
20-Feb-09,2,,,,,,
6-Mar-09,3,,,,,,
13-Mar-09,2,,,,,,
20-Mar-09,0,,,,,,
6-Nov-09,2,,,,,,
13-Nov-09,4,,,,,,
20-Nov-09,9,,,,,,
6-Aug-10,1,,,,,,
13-Aug-10,3,,,,,,
20-Aug-10,1,,,,,,
6-May-11,6,,,,,,
13-May-11,5,,,,,,
20-May-11,1,,,,,,
6-Jan-12,4,,,,,,
13-Jan-12,2,,,,,,
20-Jan-12,2,,,,,,
6-Apr-12,1,,,,,,
13-Apr-12,4,,,,,,
20-Apr-12,5,,,,,,
6-Jul-12,5,,,,,,
13-Jul-12,6,,,,,,
20-Jul-12,6,,,,,,
6-Sep-13,9,,,,,,
13-Sep-13,4,,,,,,
20-Sep-13,5,,,,,,
6-Dec-13,4,,,,,,
13-Dec-13,3,,,,,,
20-Dec-13,3,,,,,,
6-Jun-14,3,,,,,,
13-Jun-14,3,,,,,,
20-Jun-14,4,,,,,,
6-Feb-15,1,,,,,,
13-Feb-15,5,,,,,,
20-Feb-15,5,,,,,,
6-Mar-15,3,,,,,,
13-Mar-15,0,,,,,,
20-Mar-15,2,,,,,,
6-Nov-15,3,,,,,,
13-Nov-15,2,,,,,,
20-Nov-15,3,,,,,,
6-May-16,1,,,,,,
13-May-16,3,,,,,,
20-May-16,3,,,,,,
6-Jan-17,4,,,,,,
13-Jan-17,5,,,,,,
20-Jan-17,2,,,,,,
6-Oct-17,3,,,,,,
13-Oct-17,2,,,,,,
20-Oct-17,2,,,,,,
